TimeStamp;Ventilador;PC;AC;Lampara;TV;;
01/01/2024 00:00:00;0.0310;0.0000;0.2189;0.0153;0.0160;;
01/01/2024 01:00:00;0.0262;0.0000;0.5725;0.0025;0.0160;;
01/01/2024 02:00:00;0.0162;0.0000;0.4512;0.0026;0.0156;;
01/01/2024 03:00:00;0.0269;0.0000;0.4097;0.0012;0.0157;;
01/01/2024 04:00:00;0.0654;0.0000;0.4086;0.0013;0.0160;;
01/01/2024 05:00:00;0.0656;0.0000;0.3140;0.0000;0.0156;;
01/01/2024 06:00:00;0.0675;0.0000;0.3423;0.0050;0.0161;;
01/01/2024 07:00:00;0.0996;0.0000;0.3944;0.0158;0.0161;;
01/01/2024 08:00:00;0.1153;0.0000;0.3422;0.0178;0.0234;;
01/01/2024 09:00:00;0.0524;0.0000;0.4347;0.0145;0.0526;;
01/01/2024 10:00:00;0.0950;0.0000;0.5479;0.0093;0.0489;;
01/01/2024 11:00:00;0.0243;0.0000;0.4549;0.0088;0.0428;;
01/01/2024 12:00:00;0.0335;0.0000;0.5543;0.0091;0.0430;;
01/01/2024 13:00:00;0.1176;0.0000;0.6849;0.0093;0.0435;;
01/01/2024 14:00:00;0.1441;0.0000;0.6966;0.0181;0.0424;;
01/01/2024 15:00:00;0.1160;0.0000;0.7376;0.0213;0.0437;;
01/01/2024 16:00:00;0.1320;0.0000;0.7321;0.0081;0.0433;;
01/01/2024 17:00:00;0.1126;0.0000;0.6502;0.0124;0.0431;;
01/01/2024 18:00:00;0.0575;0.0000;0.5316;0.0219;0.0420;;
01/01/2024 19:00:00;0.0368;0.0000;0.6273;0.0184;0.0427;;
01/01/2024 20:00:00;0.0393;0.0000;0.5212;0.0116;0.0437;;
01/01/2024 21:00:00;0.0938;0.0000;0.2168;0.0086;0.0181;;
01/01/2024 22:00:00;0.0629;0.0000;0.5710;0.0108;0.0159;;
01/01/2024 23:00:00;0.0653;0.0000;0.4698;0.0000;0.0160;;
01/02/2024 00:00:00;0.0661;0.0000;0.5062;0.0003;0.0158;;
01/02/2024 01:00:00;0.0671;0.0000;0.4229;0.0000;0.0150;;
01/02/2024 02:00:00;0.0664;0.0000;0.4089;0.0000;0.0151;;
01/02/2024 03:00:00;0.0642;0.0000;0.4017;0.0000;0.0159;;
01/02/2024 04:00:00;0.0645;0.0000;0.3597;0.0000;0.0156;;
01/02/2024 05:00:00;0.0638;0.0000;0.3452;0.0010;0.0156;;
01/02/2024 06:00:00;0.0658;0.0000;0.3431;0.0100;0.0160;;
01/02/2024 07:00:00;0.0663;0.0000;0.3862;0.0192;0.0002;;
01/02/2024 08:00:00;0.0694;0.0000;0.5104;0.0297;0.0189;;
01/02/2024 09:00:00;0.1366;0.0000;0.5497;0.0222;0.0294;;
01/02/2024 10:00:00;0.0186;0.0000;0.0000;0.0002;0.0001;;
01/02/2024 11:00:00;0.0161;0.0000;0.0000;0.0000;0.0002;;
01/02/2024 12:00:00;0.0161;0.0000;0.0000;0.0000;0.0001;;
01/02/2024 13:00:00;0.0161;0.0000;0.0000;0.0000;0.0002;;
01/02/2024 14:00:00;0.0161;0.0000;0.0000;0.0000;0.0002;;
01/02/2024 15:00:00;0.0161;0.0000;0.0000;0.0000;0.0003;;
01/02/2024 16:00:00;0.0161;0.0000;0.0000;0.0000;0.0002;;
01/02/2024 17:00:00;0.0161;0.0000;0.0000;0.0000;0.0001;;
01/02/2024 18:00:00;0.0176;0.0000;0.0015;0.0005;0.0001;;
01/02/2024 19:00:00;0.0938;0.0000;0.6965;0.0221;0.0271;;
01/02/2024 20:00:00;0.0879;0.0000;0.6841;0.0186;0.0401;;
01/02/2024 21:00:00;0.0510;0.0000;0.4976;0.0052;0.0422;;
01/02/2024 22:00:00;0.0306;0.0000;0.4299;0.0015;0.0308;;
01/02/2024 23:00:00;0.0648;0.0000;0.4189;0.0000;0.0159;;
01/03/2024 00:00:00;0.0656;0.0000;0.4250;0.0000;0.0163;;
01/03/2024 01:00:00;0.0663;0.0000;0.3189;0.0000;0.0161;;
01/03/2024 02:00:00;0.0672;0.0000;0.3728;0.0000;0.0154;;
01/03/2024 03:00:00;0.0676;0.0000;0.3407;0.0003;0.0153;;
01/03/2024 04:00:00;0.0681;0.0000;0.2827;0.0000;0.0151;;
01/03/2024 05:00:00;0.0688;0.0000;0.2967;0.0000;0.0145;;
01/03/2024 06:00:00;0.0699;0.0000;0.3281;0.0004;0.0164;;
01/03/2024 07:00:00;0.0408;0.0000;0.2539;0.0118;0.0167;;
01/03/2024 08:00:00;0.0162;0.0000;0.3165;0.0052;0.0160;;
01/03/2024 09:00:00;0.0295;0.0000;0.4113;0.0078;0.0157;;
01/03/2024 10:00:00;0.0792;0.0000;0.5525;0.0091;0.0350;;
01/03/2024 11:00:00;0.0880;0.0000;0.3292;0.0081;0.0413;;
01/03/2024 12:00:00;0.0766;0.0000;0.0094;0.0079;0.0426;;
01/03/2024 13:00:00;0.0384;0.0000;0.0068;0.0089;0.0433;;
01/03/2024 14:00:00;0.0514;0.0000;0.0149;0.0078;0.0424;;
01/03/2024 15:00:00;0.0464;0.0000;0.6568;0.0083;0.0590;;
01/03/2024 16:00:00;0.0165;0.0000;0.5208;0.0082;0.0493;;
01/03/2024 17:00:00;0.0163;0.0000;0.3651;0.0147;0.0422;;
01/03/2024 18:00:00;0.0164;0.0000;0.4591;0.0165;0.0419;;
01/03/2024 19:00:00;0.0163;0.0000;0.4096;0.0149;0.0435;;
01/03/2024 20:00:00;0.0163;0.0000;0.3773;0.0081;0.0416;;
01/03/2024 21:00:00;0.0163;0.0000;0.4773;0.0066;0.0427;;
01/03/2024 22:00:00;0.0162;0.0000;0.3019;0.0025;0.0333;;
01/03/2024 23:00:00;0.0466;0.0000;0.2769;0.0035;0.0161;;
01/04/2024 00:00:00;0.0647;0.0000;0.3094;0.0000;0.0161;;
01/04/2024 01:00:00;0.0647;0.0000;0.3208;0.0000;0.0163;;
01/04/2024 02:00:00;0.0650;0.0000;0.2344;0.0000;0.0162;;
01/04/2024 03:00:00;0.0653;0.0000;0.2605;0.0000;0.0160;;
